estimator,n,t_mean,t_std,min,max,#nonconverge
mle,2,15.193,16.372837897591882,1,130,0
mle,4,92.781,114.31238936073974,2,1179,0
mle,6,217.365,201.48422188019265,2,1246,0
mle,8,365.78,282.42493417445166,5,2001,0
mle,10,499.634,337.3789035618092,9,1991,0
mle,12,611.548,380.4709947865589,15,2718,0
detmle,2,13.47,16.58916213376375,1,205,0
detmle,4,25.835,22.85673216374564,2,198,0
detmle,6,37.821,28.50398983364322,2,334,0
detmle,8,47.36,29.02714203939091,8,207,0
detmle,10,60.151,36.5401612254569,10,289,0
detmle,12,69.963,35.34312900363754,16,286,0
heuristic,2,15.978,16.939139601834878,1,135,0
heuristic,4,109.248,140.30648026518375,1,1366,0
heuristic,6,238.935,219.36725089622135,3,1943,0
heuristic,8,388.422,298.51150905289586,5,2278,0
heuristic,10,536.06,357.1679679889526,9,2700,0
heuristic,12,636.298,362.7349857207956,18,2092,0
