estimator,n,t_mean,t_std,min,max,#nonconverge
standard,2,2.985,0.8295878979360838,1,4,0
standard,3,2.935,0.26670330569067124,1,3,0
standard,4,55.285,3.9828495392446435,2,59,0
standard,5,,,,,200
detmle,2,2.87,0.7455732002861464,1,4,0
detmle,3,3.035,0.41790936960784963,1,4,0
detmle,4,3.55,0.5185019007733029,2,5,0
detmle,5,4.41,0.8750592226907158,3,8,0
mle,2,5.685,4.290432853495294,1,33,0
mle,3,31.26,49.56861545565857,1,334,0
mle,4,95.715,209.82954023390957,5,1974,0
mle,5,141.41,149.48421170056292,7,1073,0
heuristic,2,5.275,4.652699545997639,1,38,0
heuristic,3,37.71,70.75292063861727,1,545,0
heuristic,4,109.975,117.1412169071692,6,529,0
heuristic,5,132.43,152.72063732621933,13,1013,0
bayesian,2,7.185,5.88420720848288,1,55,0
bayesian,3,74.97,94.37703227536628,1,654,0
bayesian,4,156.46,156.72665575171186,20,1097,0
bayesian,5,168.75,161.54765776278904,24,1185,0
