estimator,n,p,t_mean,t_std,min,max,#nonconverge
standard,2,0.1,19.215,14.963902125921932,1,85,0
standard,2,0.2,9.525,7.073155067794382,1,37,0
standard,2,0.3,7.905,4.568405261485219,1,27,0
standard,2,0.4,6.3,3.9213370707082222,1,20,0
standard,2,0.5,4.73,2.7247423925075256,1,21,0
standard,2,0.6,4.205,1.8923211664474209,1,11,0
standard,2,0.7,3.72,1.6508258935009656,1,12,0
standard,2,0.8,3.455,1.340507291660502,1,9,0
standard,2,0.9,3.24,1.0525871453197884,1,6,0
standard,2,1.0,2.985,0.8295878979360838,1,4,0
standard,3,0.1,25.65,14.410266440787014,1,72,0
standard,3,0.2,13.31,7.004227008021619,1,46,0
standard,3,0.3,9.085,4.596019142671078,1,29,0
standard,3,0.4,6.905,2.9766216390246063,1,17,0
standard,3,0.5,5.63,2.0107999858052934,1,11,0
standard,3,0.6,4.865,1.9789787224524675,1,19,0
standard,3,0.7,4.215,1.2794372977973458,1,10,0
standard,3,0.8,3.645,0.9398893338042486,1,7,0
standard,3,0.9,3.29,0.6618840172275713,1,6,0
standard,3,1.0,2.935,0.26670330569067124,1,3,0
standard,4,0.1,30.71,15.151360288533995,2,84,0
standard,4,0.2,15.94,6.3345903715930545,2,39,0
standard,4,0.3,10.785,4.681705547572473,2,30,0
standard,4,0.4,8.515,3.040724424397192,2,19,0
standard,4,0.5,6.735,2.18601654653128,2,15,0
standard,4,0.6,6.04,1.8670375319550072,3,14,0
standard,4,0.7,5.56,1.45498622832765,2,11,0
standard,4,0.8,5.7,1.6834995854681272,3,13,0
standard,4,0.9,6.58,2.937130175586658,2,17,0
standard,4,1.0,55.285,3.9828495392446435,2,59,0
detmle,2,0.1,21.21,18.49910767914558,1,147,0
detmle,2,0.2,11.105,8.07465013944083,1,45,0
detmle,2,0.3,7.605,5.373392011434003,1,30,0
detmle,2,0.4,6.01,3.3789029173125273,1,16,0
detmle,2,0.5,4.725,2.365874427995962,1,13,0
detmle,2,0.6,4.35,2.191234249843782,1,11,0
detmle,2,0.7,3.78,1.5728858347783026,1,10,0
detmle,2,0.8,3.41,1.3306967230906588,1,11,0
detmle,2,0.9,3.03,0.9292023920692071,1,6,0
detmle,2,1.0,2.87,0.7455732002861464,1,4,0
detmle,3,0.1,32.34,17.755016277522113,1,94,0
detmle,3,0.2,17.445,9.806518957833697,1,53,0
detmle,3,0.3,11.125,6.002459713572872,1,33,0
detmle,3,0.4,9.25,4.795045600571259,1,24,0
detmle,3,0.5,7.38,3.5195933981700502,1,19,0
detmle,3,0.6,6.265,2.550943268241955,1,16,0
detmle,3,0.7,4.96,2.209709046537974,1,18,0
detmle,3,0.8,4.285,1.6238718542406534,1,10,0
detmle,3,0.9,3.72,1.2726737572772961,1,10,0
detmle,3,1.0,3.035,0.41790936960784963,1,4,0
detmle,4,0.1,44.52,20.868085320043694,2,113,0
detmle,4,0.2,22.27,10.512834940797951,2,64,0
detmle,4,0.3,14.785,6.500774982791238,4,34,0
detmle,4,0.4,11.415,5.028838942094652,2,33,0
detmle,4,0.5,9.21,3.8155855995294714,2,25,0
detmle,4,0.6,7.69,2.999815739734994,2,21,0
detmle,4,0.7,6.095,2.209157505571322,3,15,0
detmle,4,0.8,5.51,1.8620516053279832,3,11,0
detmle,4,0.9,4.46,1.4659964968045494,2,10,0
detmle,4,1.0,3.55,0.5185019007733029,2,5,0
mle,2,0.1,29.695,22.028806517442444,1,119,0
mle,2,0.2,17.075,12.85674353292298,1,69,0
mle,2,0.3,13.02,8.850494691338275,1,58,0
mle,2,0.4,10.975,6.6645672992649825,1,39,0
mle,2,0.5,8.73,6.248384715891705,1,54,0
mle,2,0.6,8.03,6.066557143709225,1,39,0
mle,2,0.7,6.665,4.117956145233987,1,23,0
mle,2,0.8,6.39,4.726478391990144,1,33,0
mle,2,0.9,6.705,6.363998537628264,1,51,0
mle,2,1.0,6.14,5.1108712589073875,1,37,0
mle,3,0.1,78.905,95.25156311778781,1,734,0
mle,3,0.2,60.485,92.63289936748242,1,747,0
mle,3,0.3,43.03,46.13982572125669,1,286,0
mle,3,0.4,46.93,63.74592390161392,1,361,0
mle,3,0.5,39.915,61.8253153903446,1,444,0
mle,3,0.6,35.02,54.004462871602115,1,401,0
mle,3,0.7,34.57,47.036232158607184,1,328,0
mle,3,0.8,32.12,68.94696527114519,1,649,0
mle,3,0.9,35.69,58.69103070680504,1,428,0
mle,3,1.0,32.855,52.40012251126881,1,384,0
mle,4,0.1,176.4,201.67923185795323,8,1222,0
mle,4,0.2,136.63,156.00152395854008,10,886,0
mle,4,0.3,134.8,168.8555327928993,6,1122,0
mle,4,0.4,112.83,152.21177095113376,8,1416,0
mle,4,0.5,102.345,114.79033093155921,6,751,0
mle,4,0.6,111.58,155.86179163108665,10,1341,0
mle,4,0.7,98.55,132.95568272112024,8,918,0
mle,4,0.8,137.785,224.1343342147056,5,1743,0
mle,4,0.9,153.955,260.952898144955,5,2586,0
mle,4,1.0,88.29,105.44333732832375,6,698,0
heuristic,2,0.1,30.59,23.63610006178374,1,144,0
heuristic,2,0.2,17.58,14.056368931473314,1,74,0
heuristic,2,0.3,12.98,10.088034605960427,1,69,0
heuristic,2,0.4,11.375,9.872777403970055,1,64,0
heuristic,2,0.5,8.98,6.6702368999539665,1,45,0
heuristic,2,0.6,8.18,7.799471699671065,1,68,0
heuristic,2,0.7,7.35,7.24499480667472,1,51,0
heuristic,2,0.8,6.575,6.392864662494023,1,57,0
heuristic,2,0.9,5.94,5.272132100433576,1,43,0
heuristic,2,1.0,5.345,4.103678335273977,1,30,0
heuristic,3,0.1,103.475,108.69980502772452,1,596,0
heuristic,3,0.2,74.35,98.4887693518516,1,828,0
heuristic,3,0.3,66.555,89.81139912093734,1,757,0
heuristic,3,0.4,48.735,56.258152061428696,1,305,0
heuristic,3,0.5,50.195,90.65921043769315,1,1003,0
heuristic,3,0.6,45.355,67.78497613741374,1,547,0
heuristic,3,0.7,35.335,34.84614821219312,1,205,0
heuristic,3,0.8,46.115,75.56063008667593,1,584,0
heuristic,3,0.9,33.625,37.25835881392976,1,265,0
heuristic,3,1.0,39.62,48.91060042742118,1,339,0
heuristic,4,0.1,258.62,262.37863545210485,15,1583,0
heuristic,4,0.2,185.4,257.5357710432365,6,2713,0
heuristic,4,0.3,131.53,118.51993068614763,7,610,0
heuristic,4,0.4,148.105,168.60466076940403,7,858,0
heuristic,4,0.5,149.41,231.2419427361785,5,1733,0
heuristic,4,0.6,136.165,172.6837751672987,5,1047,0
heuristic,4,0.7,124.435,125.42641148694504,5,694,0
heuristic,4,0.8,125.24,149.87137667926683,5,744,0
heuristic,4,0.9,137.205,180.55846635887602,5,1068,0
heuristic,4,1.0,114.865,122.51623531015335,7,820,0
bayesian,2,0.1,25.92,20.182673299331228,1,105,0
bayesian,2,0.2,16.4,12.385759370175066,1,72,0
bayesian,2,0.3,11.93,9.08115836146081,1,49,0
bayesian,2,0.4,11.295,9.459141174482705,1,53,0
bayesian,2,0.5,9.07,7.447309048260418,1,63,0
bayesian,2,0.6,8.15,6.718870149095158,1,59,0
bayesian,2,0.7,7.68,6.308453290195058,1,36,0
bayesian,2,0.8,7.765,6.90712071582035,1,56,0
bayesian,2,0.9,6.94,4.964841210069671,1,30,0
bayesian,2,1.0,7.685,6.699266816555153,1,60,0
bayesian,3,0.1,95.95,73.6633487205382,1,384,0
bayesian,3,0.2,84.505,87.62660603622128,1,573,0
bayesian,3,0.3,67.675,55.701279497767764,1,266,0
bayesian,3,0.4,64.2,65.88142233623394,1,491,0
bayesian,3,0.5,75.6,84.40855418795246,1,496,0
bayesian,3,0.6,80.03,83.89781473067647,1,510,0
bayesian,3,0.7,70.265,84.92056456731879,1,823,0
bayesian,3,0.8,69.025,82.4850488964957,1,803,0
bayesian,3,0.9,68.33,62.90609656404238,1,283,0
bayesian,3,1.0,64.605,60.23963014661531,1,365,0
bayesian,4,0.1,197.78,198.6231542064889,25,1204,0
bayesian,4,0.2,171.115,177.25387571866077,16,1093,0
bayesian,4,0.3,195.02,273.85386485584314,19,1885,0
bayesian,4,0.4,170.875,173.15342885609604,2,1267,0
bayesian,4,0.5,193.465,218.12217952561588,13,1309,0
bayesian,4,0.6,181.72,188.00551045062213,18,1517,0
bayesian,4,0.7,166.045,167.8620903656021,16,1072,0
bayesian,4,0.8,184.675,186.8740456018385,17,1402,0
bayesian,4,0.9,171.42,193.74498495697867,19,1608,0
bayesian,4,1.0,182.92,230.33469988225667,18,1743,0
