estimator,n,α,t_mean,t_std,min,max,#nonconverge
standard,2,0.1,17.12,5.888887414009064,1,24,0
standard,2,0.2,8.825,2.7681561448392054,1,12,0
standard,2,0.3,6.095,1.8200378261020325,1,8,0
standard,2,0.4,4.7,1.322400740544622,1,6,0
standard,2,0.5,3.865,1.0108829913054,1,5,0
standard,2,0.6,3.26,0.7845236688173746,1,4,0
standard,2,0.7,2.9,0.6573893853874587,1,4,0
standard,2,0.8,2.585,0.603819501134029,1,4,0
standard,2,0.9,2.66,0.6051703526932684,1,4,0
standard,2,1.0,2.985,0.8295878979360838,1,4,0
standard,3,0.1,18.585,4.858063286379911,1,27,0
standard,3,0.2,9.48,2.338147701358242,1,13,0
standard,3,0.3,6.515,1.5136813257019772,1,9,0
standard,3,0.4,4.965,1.0953418960976224,1,7,0
standard,3,0.5,4.0,0.891049857890248,1,5,0
standard,3,0.6,3.31,0.7116404715894266,1,4,0
standard,3,0.7,2.925,0.5665508798841351,1,4,0
standard,3,0.8,2.9,0.31702131247412096,1,3,0
standard,3,0.9,2.925,0.2824426832947418,1,3,0
standard,3,1.0,2.935,0.26670330569067124,1,3,0
standard,4,0.1,18.93,3.782411025500684,6,27,0
standard,4,0.2,9.64,1.8567816756298445,3,13,0
standard,4,0.3,6.505,1.2440713676631237,3,9,0
standard,4,0.4,4.905,1.0054999506483187,2,7,0
standard,4,0.5,3.965,0.7980976124478605,2,5,0
standard,4,0.6,3.675,0.5392857737124576,2,4,0
standard,4,0.7,3.22,0.48245602814710287,2,4,0
standard,4,0.8,3.345,0.6769537145612619,2,4,0
standard,4,0.9,6.775,0.6375006158239204,2,7,0
standard,4,1.0,55.285,3.9828495392446435,2,59,0
detmle,2,0.1,17.61,6.6655870147539344,1,29,0
detmle,2,0.2,9.155,3.297779822667666,1,15,0
detmle,2,0.3,6.325,2.156997494424779,1,10,0
detmle,2,0.4,4.93,1.621185123923283,1,8,0
detmle,2,0.5,4.11,1.2592970839832207,1,6,0
detmle,2,0.6,3.51,1.0750248331828427,1,5,0
detmle,2,0.7,3.21,0.9110709364568051,1,5,0
detmle,2,0.8,2.87,0.8984073009453794,1,4,0
detmle,2,0.9,2.86,0.8146892615990605,1,4,0
detmle,2,1.0,2.87,0.7455732002861464,1,4,0
detmle,3,0.1,26.33,12.075187400358182,1,45,0
detmle,3,0.2,13.435,5.98539050501197,1,23,0
detmle,3,0.3,9.35,3.823689712185782,1,15,0
detmle,3,0.4,7.72,2.734775123273278,1,11,0
detmle,3,0.5,5.95,2.195816030591134,1,9,0
detmle,3,0.6,5.41,1.7456046741435927,1,8,0
detmle,3,0.7,4.475,1.4799752136998199,1,7,0
detmle,3,0.8,4.105,0.9791674239991368,1,5,0
detmle,3,0.9,3.585,0.6670832032063159,1,5,0
detmle,3,1.0,3.035,0.41790936960784963,1,4,0
detmle,4,0.1,27.7,12.942082036410758,5,50,0
detmle,4,0.2,15.145,6.593279279561233,3,27,0
detmle,4,0.3,11.18,4.238801385525115,3,18,0
detmle,4,0.4,8.765,2.9840067832382777,2,15,0
detmle,4,0.5,7.125,2.4370207942811635,2,12,0
detmle,4,0.6,6.48,1.5334134419391259,2,9,0
detmle,4,0.7,5.565,1.22198249006692,2,8,0
detmle,4,0.8,4.415,1.1530056853948145,2,7,0
detmle,4,0.9,4.1,0.7700420924343054,2,6,0
detmle,4,1.0,3.55,0.5185019007733029,2,5,0
mle,2,0.1,25.025,17.63118454164974,1,115,0
mle,2,0.2,12.895,9.417399431918641,1,44,0
mle,2,0.3,9.46,7.779524730028547,1,62,0
mle,2,0.4,8.285,6.482583934848958,1,32,0
mle,2,0.5,6.945,6.056017813612669,1,45,0
mle,2,0.6,6.87,5.73125960705123,1,33,0
mle,2,0.7,6.32,5.74653926879815,1,38,0
mle,2,0.8,6.125,5.085141919524817,1,32,0
mle,2,0.9,6.17,4.038893823385666,1,22,0
mle,2,1.0,5.88,4.259851131001115,1,43,0
mle,3,0.1,69.615,73.00889169362632,1,407,0
mle,3,0.2,58.37,88.48560113397099,1,584,0
mle,3,0.3,40.775,55.83603396053674,1,301,0
mle,3,0.4,36.715,59.51954853904268,1,431,0
mle,3,0.5,33.73,46.49133598433197,1,345,0
mle,3,0.6,32.755,45.320799300610666,1,380,0
mle,3,0.7,35.455,48.88400767152947,1,316,0
mle,3,0.8,35.75,51.42646113162574,1,311,0
mle,3,0.9,35.315,48.903923602494245,1,334,0
mle,3,1.0,32.63,53.13170418826926,1,321,0
mle,4,0.1,122.395,159.09394517692937,5,1061,0
mle,4,0.2,121.915,216.4964696753958,2,1978,0
mle,4,0.3,121.85,184.5695181636878,2,1149,0
mle,4,0.4,103.865,149.4601904106506,2,1072,0
mle,4,0.5,120.605,195.09451124155936,2,1347,0
mle,4,0.6,125.65,182.80284983978703,2,1488,0
mle,4,0.7,115.785,158.2473058984595,2,1303,0
mle,4,0.8,87.765,100.6144927720599,2,528,0
mle,4,0.9,115.71,187.26378326471206,6,1657,0
mle,4,1.0,118.805,157.1062661683064,6,1002,0
heuristic,2,0.1,24.645,19.004600738932435,1,125,0
heuristic,2,0.2,13.135,10.99368365935686,1,58,0
heuristic,2,0.3,9.475,8.142535194703486,1,76,0
heuristic,2,0.4,8.22,8.188213124415745,1,81,0
heuristic,2,0.5,6.76,5.388653629590466,1,40,0
heuristic,2,0.6,7.165,6.536159568855992,1,51,0
heuristic,2,0.7,6.28,4.868274900055724,1,33,0
heuristic,2,0.8,6.2,4.816220499468174,1,34,0
heuristic,2,0.9,5.895,4.683336760908874,1,27,0
heuristic,2,1.0,5.55,5.164383242107113,1,35,0
heuristic,3,0.1,76.705,98.4130765864785,1,626,0
heuristic,3,0.2,49.635,72.6466064046391,1,731,0
heuristic,3,0.3,40.995,57.540765317875554,1,316,0
heuristic,3,0.4,46.915,73.80442562073114,1,557,0
heuristic,3,0.5,43.98,58.25847448437208,1,409,0
heuristic,3,0.6,48.05,81.29082661938126,1,640,0
heuristic,3,0.7,43.68,64.46515633975883,1,388,0
heuristic,3,0.8,43.015,61.712453439704824,1,421,0
heuristic,3,0.9,36.99,46.45449386227343,1,319,0
heuristic,3,1.0,36.9,42.366787978534425,1,242,0
heuristic,4,0.1,170.465,281.00336873640146,5,1980,0
heuristic,4,0.2,133.965,211.61789727533957,2,1522,0
heuristic,4,0.3,105.195,148.15087032104947,2,972,0
heuristic,4,0.4,110.2,139.04993499498866,2,724,0
heuristic,4,0.5,128.355,139.95429611126627,2,817,0
heuristic,4,0.6,108.905,216.53654739277601,2,2671,0
heuristic,4,0.7,125.78,161.53541422936104,2,1359,0
heuristic,4,0.8,104.765,139.70309426687263,2,1009,0
heuristic,4,0.9,136.205,185.54313311527096,6,1517,0
heuristic,4,1.0,126.63,180.88346313629927,8,1342,0
bayesian,2,0.1,21.51,14.202409732543813,1,88,0
bayesian,2,0.2,11.295,8.257658239355148,1,52,0
bayesian,2,0.3,8.58,8.559199699591506,1,62,0
bayesian,2,0.4,6.335,5.461861832138086,1,47,0
bayesian,2,0.5,5.675,5.801522499877329,1,47,0
bayesian,2,0.6,4.485,3.8580041446192737,1,24,0
bayesian,2,0.7,3.98,5.091089861699502,1,58,0
bayesian,2,0.8,3.66,3.346700167336512,1,27,0
bayesian,2,0.9,2.795,2.351728755767452,1,16,0
bayesian,2,1.0,6.345,4.345155565042766,1,32,0
bayesian,3,0.1,80.845,89.93096724347365,1,723,0
bayesian,3,0.2,64.5,73.39382308022698,1,563,0
bayesian,3,0.3,75.09,86.65040892479489,1,534,0
bayesian,3,0.4,66.68,75.29658343767623,1,441,0
bayesian,3,0.5,68.43,103.561236709223,1,1058,0
bayesian,3,0.6,74.115,83.40957716482,1,589,0
bayesian,3,0.7,61.265,54.4767229347411,1,320,0
bayesian,3,0.8,71.14,106.07478351848034,1,928,0
