estimator,n,χ,t_mean,t_std,min,max,#nonconverge
standard,2,0.02,2.985,0.8295878979360838,1,4,0
standard,2,0.04,2.985,0.8295878979360838,1,4,0
standard,2,0.06,2.775,0.6530754456327696,1,4,0
standard,2,0.08,2.69,0.5434858640499407,1,3,0
standard,2,0.1,2.69,0.5434858640499407,1,3,0
standard,2,0.12,2.69,0.5434858640499407,1,3,0
standard,2,0.14,2.69,0.5434858640499407,1,3,0
standard,2,0.16,2.69,0.5434858640499407,1,3,0
standard,2,0.18,2.69,0.5434858640499407,1,3,0
standard,2,0.2,2.215,0.5000251249968751,1,3,0
standard,3,0.02,3.3,0.5930925677917828,1,4,0
standard,3,0.04,2.935,0.26670330569067124,1,3,0
standard,3,0.06,2.935,0.26670330569067124,1,3,0
standard,3,0.08,2.935,0.26670330569067124,1,3,0
standard,3,0.1,2.935,0.26670330569067124,1,3,0
standard,3,0.12,2.935,0.26670330569067124,1,3,0
standard,3,0.14,2.935,0.26670330569067124,1,3,0
standard,3,0.16,2.915,0.297011919629516,1,3,0
standard,3,0.18,2.76,0.4397349590046879,1,3,0
standard,3,0.2,1.995,0.07071067811865482,1,2,0
standard,4,0.02,16.335,21.78890905458428,2,59,0
standard,4,0.04,49.605,5.479883265455129,2,59,0
standard,4,0.06,56.805,4.065663920638032,2,59,0
standard,4,0.08,58.165,4.3522968002177755,2,59,0
standard,4,0.1,57.695,4.909428422656334,2,59,0
standard,4,0.12,55.025,6.5665801506089885,2,57,0
standard,4,0.14,45.975,9.51668067423072,2,49,0
standard,4,0.16,17.005,5.29766944113519,2,19,0
standard,4,0.18,2.0,0.0,2,2,0
standard,4,0.2,2.0,0.0,2,2,0
detmle,2,0.02,2.91,0.7842033373888815,1,5,0
detmle,2,0.04,2.895,0.7726317356897621,1,5,0
detmle,2,0.06,2.81,0.690131441853779,1,4,0
detmle,2,0.08,2.705,0.5653077607123462,1,4,0
detmle,2,0.1,2.695,0.5509014996454057,1,4,0
detmle,2,0.12,2.695,0.5509014996454057,1,4,0
detmle,2,0.14,2.695,0.5509014996454057,1,4,0
detmle,2,0.16,2.695,0.5509014996454057,1,4,0
detmle,2,0.18,2.695,0.5509014996454057,1,4,0
detmle,2,0.2,2.215,0.5000251249968751,1,3,0
detmle,3,0.02,3.22,0.568520958630384,1,5,0
detmle,3,0.04,3.065,0.44920365047268945,1,4,0
detmle,3,0.06,3.02,0.400502197310141,1,4,0
detmle,3,0.08,3.11,0.4889739025622266,1,4,0
detmle,3,0.1,3.225,0.5620985446248244,1,4,0
detmle,3,0.12,3.32,0.5994972768283641,1,4,0
detmle,3,0.14,3.41,0.6434048874901648,1,5,0
detmle,3,0.16,3.57,0.7862512033528908,1,5,0
detmle,3,0.18,3.585,1.1660072316763774,1,6,0
detmle,3,0.2,1.995,0.07071067811865482,1,2,0
detmle,4,0.02,3.575,0.5620985446248247,2,5,0
detmle,4,0.04,3.57,0.5063416924841743,2,4,0
detmle,4,0.06,3.575,0.5439248765746821,2,5,0
detmle,4,0.08,3.705,0.6403320432620404,2,5,0
detmle,4,0.1,3.96,0.7755043746980917,2,6,0
detmle,4,0.12,4.37,0.9367429942016803,2,7,0
detmle,4,0.14,4.97,1.2356106459324918,2,8,0
detmle,4,0.16,5.46,2.0784609690826517,2,10,0
detmle,4,0.18,2.0,0.0,2,2,0
detmle,4,0.2,2.0,0.0,2,2,0
mle,2,0.02,7.755,6.207871077638687,1,35,0
mle,2,0.04,6.005,5.404722948565796,1,56,0
mle,2,0.06,5.84,4.927045655813664,1,44,0
mle,2,0.08,5.185,4.315541040514137,1,40,0
mle,2,0.1,4.48,3.083364344087792,1,25,0
mle,2,0.12,4.84,3.8429469429111487,1,28,0
mle,2,0.14,4.915,3.128371548060356,1,18,0
mle,2,0.16,4.77,3.0927212326874187,1,21,0
mle,2,0.18,4.71,3.716850128048194,1,23,0
mle,2,0.2,4.485,3.0141667181868237,1,24,0
mle,3,0.02,64.41,112.0669303783329,1,767,0
mle,3,0.04,33.53,46.23524183931238,1,351,0
mle,3,0.06,30.745,62.27948011356617,1,617,0
mle,3,0.08,24.215,37.671267525594686,1,291,0
mle,3,0.1,20.17,26.394020565424295,1,180,0
mle,3,0.12,23.41,37.36862279840196,1,374,0
mle,3,0.14,5.09,4.353927355513119,1,35,0
mle,3,0.16,4.01,2.0569529105893265,1,14,0
mle,3,0.18,3.775,1.7463170146276106,1,17,0
mle,3,0.2,1.995,0.07071067811865482,1,2,0
mle,4,0.02,232.88,389.2374785055608,9,3359,0
mle,4,0.04,111.88,165.30828699355553,5,1511,0
mle,4,0.06,111.1,166.05205940355205,5,1350,0
mle,4,0.08,27.165,40.048184232265854,4,465,0
mle,4,0.1,19.07,29.51151891624216,4,280,0
mle,4,0.12,14.47,22.970794216453925,4,185,0
mle,4,0.14,3.42,0.9423588493801208,3,9,0
mle,4,0.16,3.505,0.9771124519309901,3,8,0
mle,4,0.18,2.0,0.0,2,2,0
mle,4,0.2,2.0,0.0,2,2,0
heuristic,2,0.02,5.215,5.697462628399594,1,63,0
heuristic,2,0.04,5.39,4.683757886537103,1,37,0
heuristic,2,0.06,4.955,4.770404468592769,1,41,0
heuristic,2,0.08,5.05,3.593335539788558,1,24,0
heuristic,2,0.1,5.065,4.038853387214873,1,35,0
heuristic,2,0.12,5.0,3.5824811031282993,1,34,0
heuristic,2,0.14,5.01,4.011278070490005,1,30,0
heuristic,2,0.16,4.625,3.1390513242188955,1,21,0
heuristic,2,0.18,5.265,4.363481966775139,1,35,0
heuristic,2,0.2,4.1,2.191807496223726,1,16,0
heuristic,3,0.02,86.24,131.14295548701554,1,1084,0
heuristic,3,0.04,43.215,61.271689011907135,1,450,0
heuristic,3,0.06,47.18,81.19804933667068,1,617,0
heuristic,3,0.08,30.21,43.10960554739814,1,307,0
heuristic,3,0.1,34.64,56.025572050788455,1,456,0
heuristic,3,0.12,28.42,31.79652014713776,1,215,0
heuristic,3,0.14,6.69,5.125941511752702,1,31,0
heuristic,3,0.16,4.285,2.125172177476355,1,15,0
heuristic,3,0.18,3.68,1.3138611630529662,1,13,0
heuristic,3,0.2,1.995,0.07071067811865482,1,2,0
heuristic,4,0.02,229.605,367.8940460521251,13,3076,0
heuristic,4,0.04,127.205,149.47762634887687,7,1146,0
heuristic,4,0.06,149.76,221.76057168887996,5,1762,0
heuristic,4,0.08,36.315,47.04766934668256,4,299,0
heuristic,4,0.1,22.505,24.760967317787944,4,190,0
heuristic,4,0.12,17.785,20.33806676650943,4,162,0
