estimator,n,r,t_mean,t_std,min,max,#nonconverge
standard,2,1.0,2.985,0.8295878979360838,1,4,0
standard,2,1.025,2.855,0.7661002204272581,1,4,0
standard,2,1.05,2.74,0.6668006565517833,1,4,0
standard,2,1.075,2.685,0.6063110301871745,1,4,0
standard,2,1.1,2.655,0.5896724241807446,1,4,0
standard,3,1.0,2.935,0.26670330569067124,1,3,0
standard,3,1.025,2.93,0.2747314815136286,1,3,0
standard,3,1.05,2.925,0.2824426832947418,1,3,0
standard,3,1.075,2.925,0.2824426832947418,1,3,0
standard,3,1.1,2.925,0.2824426832947418,1,3,0
standard,4,1.0,55.285,3.9828495392446435,2,59,0
standard,4,1.025,15.455,1.3883850565771105,2,17,0
standard,4,1.05,10.955,1.0039995395302164,2,13,0
standard,4,1.075,8.83,0.8026964607123898,2,9,0
standard,4,1.1,7.23,0.9172276340491021,2,9,0
detmle,2,1.0,2.87,0.7455732002861464,1,4,0
detmle,2,1.025,2.79,0.7059688093669542,1,4,0
detmle,2,1.05,2.71,0.6307847867824503,1,4,0
detmle,2,1.075,2.68,0.5994972768283643,1,4,0
detmle,2,1.1,2.665,0.6038195011340298,1,4,0
detmle,3,1.0,3.035,0.41790936960784963,1,4,0
detmle,3,1.025,3.025,0.41863021424809593,1,4,0
detmle,3,1.05,3.0,0.4010037656936684,1,4,0
detmle,3,1.075,3.01,0.41322363054915123,1,4,0
detmle,3,1.1,3.005,0.4071903978490935,1,4,0
detmle,4,1.0,3.55,0.5185019007733029,2,5,0
detmle,4,1.025,3.5,0.511181506574051,2,4,0
detmle,4,1.05,3.45,0.5087179669023365,2,4,0
detmle,4,1.075,3.405,0.5022312026393054,2,4,0
detmle,4,1.1,3.365,0.49294010766901913,2,4,0
mle,2,1.0,5.91,4.299339671163494,1,25,0
mle,2,1.025,6.58,5.582960436558806,1,39,0
mle,2,1.05,5.685,4.7432337420433175,1,41,0
mle,2,1.075,5.185,4.817344605197571,1,50,0
mle,2,1.1,5.0,3.503049640516046,1,25,0
mle,3,1.0,28.45,38.99925910905586,1,217,0
mle,3,1.025,26.5,40.75456628853795,1,395,0
mle,3,1.05,29.29,40.771034895280245,1,304,0
mle,3,1.075,32.9,52.43670508528358,1,318,0
mle,3,1.1,24.325,35.12160318166374,1,333,0
mle,4,1.0,123.17,176.85371719710096,6,1146,0
mle,4,1.025,115.635,212.63983699293476,7,2258,0
mle,4,1.05,94.535,117.87515231236529,5,907,0
mle,4,1.075,90.59,113.92712075805788,6,735,0
mle,4,1.1,78.98,109.59151931389418,5,788,0
heuristic,2,1.0,4.95,3.7959910087740516,1,30,0
heuristic,2,1.025,4.705,2.9870701263442867,1,19,0
heuristic,2,1.05,5.125,4.027465379979656,1,28,0
heuristic,2,1.075,4.89,4.498788223220441,1,33,0
heuristic,2,1.1,4.035,3.0314556929123064,1,32,0
heuristic,3,1.0,36.16,44.736688034334954,1,239,0
heuristic,3,1.025,42.875,72.17761018529431,1,548,0
heuristic,3,1.05,39.69,56.57292976247162,1,441,0
heuristic,3,1.075,31.945,38.75748557946208,1,258,0
heuristic,3,1.1,33.755,43.676920011701185,1,301,0
heuristic,4,1.0,124.795,158.44750244213623,5,1084,0
heuristic,4,1.025,108.425,122.85467320636704,5,716,0
heuristic,4,1.05,96.205,99.02744645174775,7,602,0
heuristic,4,1.075,124.46,183.174597216226,5,1668,0
heuristic,4,1.1,107.88,145.37418570484488,7,1236,0
bayesian,2,1.0,7.3,6.5224775636133225,1,43,0
bayesian,2,1.025,5.87,4.201351780548684,1,30,0
bayesian,2,1.05,5.04,3.851306637242787,1,26,0
bayesian,2,1.075,4.3,3.6381562507020795,1,37,0
bayesian,2,1.1,4.06,4.061883118993181,1,34,0
bayesian,3,1.0,65.095,82.24107212776117,1,705,0
bayesian,3,1.025,58.19,57.07804671750274,1,360,0
bayesian,3,1.05,72.77,89.72076783501424,1,711,0
bayesian,3,1.075,65.535,64.72592992785137,1,480,0
bayesian,3,1.1,56.675,52.33703469824237,1,349,0
bayesian,4,1.0,145.575,186.58155794134396,18,1624,0
bayesian,4,1.025,136.4,139.88512875295618,17,982,0
bayesian,4,1.05,147.5,143.12615231811037,19,1049,0
bayesian,4,1.075,133.815,126.542426496087,19,713,0
bayesian,4,1.1,137.405,131.52274379619058,17,859,0
