n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,1,1,standard,1.0,1.0,0.05,20000,1.0,1.0,2
2,2,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
2,3,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
2,4,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
2,5,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
2,6,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
2,7,1,standard,1.0,1.0,0.05,20000,1.0,1.0,2
2,8,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
2,9,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
2,10,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,1,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,2,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,3,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
3,4,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
3,5,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,6,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,7,1,standard,1.0,1.0,0.05,20000,1.0,1.0,4
3,8,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
3,9,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
3,10,1,standard,1.0,1.0,0.05,20000,1.0,1.0,3
4,1,1,standard,1.0,1.0,0.05,20000,1.0,1.0,709
4,2,1,standard,1.0,1.0,0.05,20000,1.0,1.0,709
4,3,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
4,4,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
4,5,1,standard,1.0,1.0,0.05,20000,1.0,1.0,709
4,6,1,standard,1.0,1.0,0.05,20000,1.0,1.0,709
4,7,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
4,8,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
4,9,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
4,10,1,standard,1.0,1.0,0.05,20000,1.0,1.0,707
2,1,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,2
2,2,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
2,3,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
2,4,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
2,5,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,5
2,6,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
2,7,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,2
2,8,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,5
2,9,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
2,10,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,5
3,1,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
3,2,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
3,3,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
3,4,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
3,5,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
3,6,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,5
3,7,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,6
3,8,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
3,9,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
3,10,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
4,1,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
4,2,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,5
4,3,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
4,4,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
4,5,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,11
4,6,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,8
4,7,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,3
4,8,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,6
4,9,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,4
4,10,1,detmle,1.0,1.0,0.05,20000,1.0,1.0,6
2,1,1,mle,1.0,1.0,0.05,20000,1.0,1.0,5
2,2,1,mle,1.0,1.0,0.05,20000,1.0,1.0,11
2,3,1,mle,1.0,1.0,0.05,20000,1.0,1.0,41
2,4,1,mle,1.0,1.0,0.05,20000,1.0,1.0,3
2,5,1,mle,1.0,1.0,0.05,20000,1.0,1.0,9
2,6,1,mle,1.0,1.0,0.05,20000,1.0,1.0,5
2,7,1,mle,1.0,1.0,0.05,20000,1.0,1.0,30
2,8,1,mle,1.0,1.0,0.05,20000,1.0,1.0,16
2,9,1,mle,1.0,1.0,0.05,20000,1.0,1.0,3
2,10,1,mle,1.0,1.0,0.05,20000,1.0,1.0,13
3,1,1,mle,1.0,1.0,0.05,20000,1.0,1.0,86
3,2,1,mle,1.0,1.0,0.05,20000,1.0,1.0,28
3,3,1,mle,1.0,1.0,0.05,20000,1.0,1.0,34
3,4,1,mle,1.0,1.0,0.05,20000,1.0,1.0,115
3,5,1,mle,1.0,1.0,0.05,20000,1.0,1.0,16
3,6,1,mle,1.0,1.0,0.05,20000,1.0,1.0,33
3,7,1,mle,1.0,1.0,0.05,20000,1.0,1.0,39
3,8,1,mle,1.0,1.0,0.05,20000,1.0,1.0,19
3,9,1,mle,1.0,1.0,0.05,20000,1.0,1.0,78
3,10,1,mle,1.0,1.0,0.05,20000,1.0,1.0,139
4,1,1,mle,1.0,1.0,0.05,20000,1.0,1.0,281
4,2,1,mle,1.0,1.0,0.05,20000,1.0,1.0,304
4,3,1,mle,1.0,1.0,0.05,20000,1.0,1.0,516
4,4,1,mle,1.0,1.0,0.05,20000,1.0,1.0,531
4,5,1,mle,1.0,1.0,0.05,20000,1.0,1.0,1527
4,6,1,mle,1.0,1.0,0.05,20000,1.0,1.0,1244
4,7,1,mle,1.0,1.0,0.05,20000,1.0,1.0,2791
4,8,1,mle,1.0,1.0,0.05,20000,1.0,1.0,556
4,9,1,mle,1.0,1.0,0.05,20000,1.0,1.0,1292
4,10,1,mle,1.0,1.0,0.05,20000,1.0,1.0,786
2,1,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,5
2,2,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,6
2,3,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,11
2,4,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,6
2,5,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,46
2,6,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,6
2,7,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,3
2,8,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,4
2,9,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,5
2,10,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,11
3,1,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,19
3,2,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,34
3,3,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,28
3,4,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,183
3,5,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,155
3,6,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,57
3,7,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,70
3,8,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,18
3,9,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,220
3,10,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1125
4,1,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,858
4,2,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,354
4,3,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1594
4,4,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,3031
4,5,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,2536
4,6,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1812
4,7,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1039
4,8,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,3508
4,9,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,2530
4,10,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1397
2,1,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,20
2,2,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,18
2,3,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,29
