estimator,n,α,t_mean,t_std,min,max,#nonconverge
standard,2,0.1,17.3,5.941635322285466,1,23,0
standard,2,0.2,8.94,2.7882147360168332,1,12,0
standard,2,0.3,6.14,1.8533071722592218,1,8,0
standard,2,0.4,4.74,1.3228374767517703,1,6,0
standard,2,0.5,3.9,1.010050503787816,1,5,0
standard,2,0.6,3.27,0.7895146188218004,1,4,0
standard,2,0.7,2.93,0.6705191716841205,1,4,0
standard,2,0.8,2.62,0.615949624071595,1,4,0
standard,2,0.9,2.7,0.5945883900105635,1,4,0
standard,2,1.0,2.99,0.8102250591438451,1,4,0
standard,3,0.1,18.37,4.762341754840676,2,27,0
standard,3,0.2,9.33,2.2565505095211584,2,13,0
standard,3,0.3,6.37,1.467871406032035,2,9,0
standard,3,0.4,4.87,1.0603506185896416,2,7,0
standard,3,0.5,3.92,0.906541880895848,2,5,0
standard,3,0.6,3.25,0.7159792333764037,2,4,0
standard,3,0.7,2.89,0.5666666666666669,2,4,0
standard,3,0.8,2.91,0.28762349126466136,2,3,0
standard,3,0.9,2.93,0.25643239997624295,2,3,0
standard,3,1.0,2.94,0.23868325657594192,2,3,0
standard,4,0.1,18.89,3.538803655634387,6,27,0
standard,4,0.2,9.59,1.7528908302077058,4,13,0
standard,4,0.3,6.45,1.1666666666666667,3,9,0
standard,4,0.4,4.89,0.9523495665824062,2,7,0
standard,4,0.5,3.96,0.7510262339228937,2,5,0
standard,4,0.6,3.67,0.5514901759246611,2,4,0
standard,4,0.7,3.2,0.49236596391733106,2,4,0
standard,4,0.8,3.32,0.7230686570639631,2,4,0
standard,4,0.9,6.82,0.6572055933413776,2,7,0
standard,4,1.0,54.95,5.483446162604483,2,59,0
standard,5,0.1,18.64,2.664847864590799,8,25,0
standard,5,0.2,9.41,1.4220130843706087,4,13,0
standard,5,0.3,6.27,0.9304609480024273,3,9,0
standard,5,0.4,4.8,0.7385489458759962,2,6,0
standard,5,0.5,4.15,0.6256309946079572,2,5,0
standard,5,0.6,3.78,0.4399265319747762,2,4,0
standard,5,0.7,4.68,1.3399834161494522,2,7,0
standard,5,0.8,37.68,31.490219741912544,2,81,0
standard,5,0.9,,,,,100
standard,5,1.0,,,,,100
standard,6,0.1,18.78,2.1013704042261514,13,25,0
standard,6,0.2,9.41,1.0926291154085106,7,13,0
standard,6,0.3,6.17,0.7792122414154673,4,8,0
standard,6,0.4,4.87,0.562372319964831,3,6,0
standard,6,0.5,4.53,0.6428314889862844,3,5,0
standard,6,0.6,4.77,1.3769751653753983,2,7,0
standard,6,0.7,,,,,88
standard,6,0.8,,,,,80
standard,6,0.9,,,,,100
standard,6,1.0,,,,,100
standard,7,0.1,19.26,1.8620071715948652,13,22,0
standard,7,0.2,9.64,0.9158536339327791,7,11,0
standard,7,0.3,6.46,0.6578200914591107,5,8,0
standard,7,0.4,5.23,0.6333333333333337,4,6,0
standard,7,0.5,5.07,1.0274514906585945,3,7,0
standard,7,0.6,,,,,64
standard,7,0.7,,,,,95
standard,7,0.8,,,,,83
standard,7,0.9,,,,,97
standard,7,1.0,,,,,100
standard,8,0.1,20.31,1.9158825800674886,14,24,0
standard,8,0.2,10.18,1.0286796479865912,7,12,0
standard,8,0.3,6.85,0.6871842709362768,5,8,0
standard,8,0.4,5.75,0.7833494518006403,4,7,0
standard,8,0.5,46.65,44.922913772574695,3,126,0
standard,8,0.6,,,,,76
standard,8,0.7,,,,,87
standard,8,0.8,,,,,95
standard,8,0.9,,,,,81
standard,8,1.0,,,,,100
