n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,1,1,standard,0.1,1.0,0.05,5000,1.0,1.0,1
2,2,1,standard,0.1,1.0,0.05,5000,1.0,1.0,16
2,3,1,standard,0.1,1.0,0.05,5000,1.0,1.0,26
2,4,1,standard,0.1,1.0,0.05,5000,1.0,1.0,12
2,5,1,standard,0.1,1.0,0.05,5000,1.0,1.0,34
2,6,1,standard,0.1,1.0,0.05,5000,1.0,1.0,21
2,7,1,standard,0.1,1.0,0.05,5000,1.0,1.0,1
2,8,1,standard,0.1,1.0,0.05,5000,1.0,1.0,13
2,9,1,standard,0.1,1.0,0.05,5000,1.0,1.0,34
2,10,1,standard,0.1,1.0,0.05,5000,1.0,1.0,47
2,11,1,standard,0.1,1.0,0.05,5000,1.0,1.0,38
2,12,1,standard,0.1,1.0,0.05,5000,1.0,1.0,8
2,13,1,standard,0.1,1.0,0.05,5000,1.0,1.0,19
2,14,1,standard,0.1,1.0,0.05,5000,1.0,1.0,25
2,15,1,standard,0.1,1.0,0.05,5000,1.0,1.0,19
2,16,1,standard,0.1,1.0,0.05,5000,1.0,1.0,25
2,17,1,standard,0.1,1.0,0.05,5000,1.0,1.0,36
2,18,1,standard,0.1,1.0,0.05,5000,1.0,1.0,48
2,19,1,standard,0.1,1.0,0.05,5000,1.0,1.0,14
2,20,1,standard,0.1,1.0,0.05,5000,1.0,1.0,41
2,21,1,standard,0.1,1.0,0.05,5000,1.0,1.0,24
2,22,1,standard,0.1,1.0,0.05,5000,1.0,1.0,68
2,23,1,standard,0.1,1.0,0.05,5000,1.0,1.0,36
2,24,1,standard,0.1,1.0,0.05,5000,1.0,1.0,28
2,25,1,standard,0.1,1.0,0.05,5000,1.0,1.0,22
2,26,1,standard,0.1,1.0,0.05,5000,1.0,1.0,18
2,27,1,standard,0.1,1.0,0.05,5000,1.0,1.0,28
2,28,1,standard,0.1,1.0,0.05,5000,1.0,1.0,16
2,29,1,standard,0.1,1.0,0.05,5000,1.0,1.0,8
2,30,1,standard,0.1,1.0,0.05,5000,1.0,1.0,30
2,31,1,standard,0.1,1.0,0.05,5000,1.0,1.0,29
2,32,1,standard,0.1,1.0,0.05,5000,1.0,1.0,32
2,33,1,standard,0.1,1.0,0.05,5000,1.0,1.0,12
2,34,1,standard,0.1,1.0,0.05,5000,1.0,1.0,42
2,35,1,standard,0.1,1.0,0.05,5000,1.0,1.0,12
2,36,1,standard,0.1,1.0,0.05,5000,1.0,1.0,20
2,37,1,standard,0.1,1.0,0.05,5000,1.0,1.0,26
