estimator,n,p,t_mean,t_std,min,max,#nonconverge
standard,2,0.1,24.72,18.412819425387283,1,90,0
standard,2,0.2,10.58,7.493000100430434,1,42,0
standard,2,0.3,7.69,4.783589371249092,1,22,0
standard,2,0.4,5.73,2.8879932566585143,1,16,0
standard,2,0.5,5.14,2.824925135326957,1,14,0
standard,2,0.6,4.41,2.1931712199461297,1,14,0
standard,2,0.7,3.83,1.6084059490594076,1,10,0
standard,2,0.8,3.44,1.2087225078611306,1,8,0
standard,2,0.9,3.19,0.9607972278953106,1,6,0
standard,2,1.0,2.99,0.8102250591438451,1,4,0
standard,3,0.1,25.12,14.661348898213681,3,68,0
standard,3,0.2,12.92,6.1704411053297825,3,31,0
standard,3,0.3,8.64,3.7779797925784777,2,22,0
standard,3,0.4,6.78,3.1736923657347806,2,20,0
standard,3,0.5,5.86,2.7377643315949496,2,17,0
standard,3,0.6,4.74,1.5216949614017767,2,10,0
standard,3,0.7,4.32,1.5300359802991892,2,9,0
standard,3,0.8,3.69,0.960797227895311,2,6,0
standard,3,0.9,3.28,0.6828342597311781,2,5,0
standard,3,1.0,2.94,0.23868325657594192,2,3,0
standard,4,0.1,31.21,15.156620049111583,4,85,0
standard,4,0.2,17.47,8.813963898040402,4,46,0
standard,4,0.3,11.26,4.598242967029731,2,24,0
standard,4,0.4,8.4,2.9848100289785457,2,20,0
standard,4,0.5,7.1,2.0424781936944076,4,13,0
standard,4,0.6,6.26,1.6794660045996943,2,11,0
standard,4,0.7,5.45,1.3953385599809445,2,10,0
standard,4,0.8,5.65,1.7137294672347467,2,11,0
standard,4,0.9,6.68,2.817262802255,2,17,0
standard,4,1.0,54.95,5.483446162604483,2,59,0
standard,5,0.1,30.52,14.022694448498815,6,66,0
standard,5,0.2,17.11,6.945523956499106,5,42,0
standard,5,0.3,10.82,3.459374615052948,4,19,0
standard,5,0.4,8.83,2.828623536476905,4,19,0
standard,5,0.5,7.89,2.0932551616363377,3,14,0
standard,5,0.6,7.66,2.6293602555631956,4,15,0
standard,5,0.7,7.84,2.9906250824599163,3,15,0
standard,5,0.8,12.05,7.655954307833632,3,39,0
standard,5,0.9,55.48,48.31786168256785,3,242,0
standard,5,1.0,,,,,100
standard,6,0.1,35.77,13.293010998797126,13,89,0
standard,6,0.2,17.68,5.5611930992250835,5,36,0
standard,6,0.3,12.31,3.6172845443436543,5,23,0
standard,6,0.4,10.51,3.3589771170294203,5,21,0
standard,6,0.5,8.98,2.546457233971238,3,16,0
standard,6,0.6,9.92,4.0692987011513315,4,31,0
standard,6,0.7,14.86,9.502811917713325,3,47,0
standard,6,0.8,36.08,27.339496718266062,4,129,0
standard,6,0.9,220.53,228.66010481794495,3,1034,0
standard,6,1.0,,,,,100
standard,7,0.1,33.8,11.333333333333336,8,88,0
standard,7,0.2,18.6,6.216628076897047,6,38,0
standard,7,0.3,14.28,4.671166661530926,7,28,0
standard,7,0.4,11.32,3.478302151709344,5,28,0
standard,7,0.5,10.81,4.241914471537395,5,27,0
standard,7,0.6,14.16,8.48256679277796,4,48,0
standard,7,0.7,22.36,17.853794549002178,3,105,0
standard,7,0.8,82.05,79.97857983437335,3,427,0
standard,7,0.9,474.33,447.1667046160434,5,2180,0
standard,7,1.0,,,,,100
standard,8,0.1,35.31,11.388187216620915,13,70,0
standard,8,0.2,17.99,6.125777625342884,6,36,0
standard,8,0.3,13.59,4.214201579124444,5,27,0
standard,8,0.4,12.26,3.6365707011752795,6,24,0
standard,8,0.5,12.46,4.822966939655516,5,30,0
standard,8,0.6,18.49,10.688892563891935,4,49,0
standard,8,0.7,34.22,31.348990285481158,4,170,0
standard,8,0.8,87.07,92.76942797967853,3,596,0
standard,8,0.9,494.37,473.01202613536884,3,2348,0
standard,8,1.0,,,,,100
